agent,tool_signature,turns_total,cache_hits,cache_hit_pct,executed_requests,avg_executed_request_latency_s,total_prompt_tokens,total_completion_tokens,total_tokens,lm_tokens_per_s,avg_prompt_tokens_per_executed_request,avg_completion_tokens_per_executed_request,estimated_saved_lm_time_s,estimated_saved_stage_time_s,estimated_saved_prompt_tokens,estimated_saved_completion_tokens,estimated_saved_total_tokens,num_instances
Planner,LLM_ONLY,228,69,30.263157894736842,159,9.066130159785912,829392,25382,854774,592.9693278355918,5216.301886792453,159.63522012578616,604.6999199390411,604.6999199390411,557163,9195,566358,10
Inner-Navigator-Assistant,open_file,164,62,37.80487804878049,102,9.052911454556035,1340817,12036,1352853,1465.0827827557491,13145.264705882353,118.0,688.2833590507507,697.5833590507501,972811,7688,980499,10
Inner-Editor-Assistant,open_file_gen,146,49,33.56164383561644,97,7.757420532482186,1423455,9746,1433201,1904.662507256054,14674.79381443299,100.47422680412372,657.9038887023926,665.253888702392,1287606,4721,1292327,10
Inner-Executor-Assistant,LLM_ONLY,38,19,50.0,19,5.468115041130467,46921,1968,48889,470.56531250775146,2469.5263157894738,103.57894736842105,151.21368217468262,151.21368217468262,30313,2905,33218,7
Inner-Navigator-Assistant,LLM_ONLY,76,17,22.36842105263158,59,17.600893574245905,816707,15915,832622,801.7909561583278,13842.49152542373,269.7457627118644,486.83401560783386,486.83401560783386,396884,6557,403441,10
Inner-Executor-Assistant,python,37,14,37.83783783783784,23,5.20581897445347,78199,2222,80421,671.6647725458777,3399.9565217391305,96.6086956521739,64.8093593120575,120.8093593120575,75187,1153,76340,7
Inner-Navigator-Assistant,python_exec,24,14,58.333333333333336,10,20.309542727470397,112311,3613,115924,570.7858692613638,11231.1,361.3,345.5408184528351,359.5408184528351,220288,5925,226213,4
Inner-Navigator-Assistant,get_folder_structure,40,13,32.5,27,6.406497019308585,195167,2634,197801,1143.5208571678397,7228.407407407408,97.55555555555556,80.58876729011536,82.53876729011537,106674,953,107627,9
Inner-Editor-Assistant,editor,51,11,21.568627450980394,40,21.297777569293977,325068,15004,340072,399.18719088593787,8126.7,375.1,347.97679901123047,351.82679901123055,224490,4940,229430,10
Inner-Editor-Assistant,LLM_ONLY,21,7,33.33333333333333,14,12.63735590662275,102731,3172,105903,598.5824927218943,7337.928571428572,226.57142857142858,102.56880974769592,102.56880974769592,57214,1821,59035,9
Inner-Navigator-Assistant,open_file_gen,11,5,45.45454545454545,6,17.6287339925766,186647,603,187250,1770.3105252183768,31107.833333333332,100.5,100.69465613365173,101.44465613365173,160068,521,160589,1
Inner-Navigator-Assistant,code_search,19,4,21.052631578947366,15,8.254687277475993,170434,1434,171868,1388.0436994785948,11362.266666666666,95.6,31.13654923439026,31.736549234390253,65020,290,65310,8
Inner-Navigator-Assistant,get_all_symbols,12,4,33.33333333333333,8,14.19508746266365,187940,980,188920,1663.6036982591963,23492.5,122.5,80.07865381240845,80.67865381240844,128369,405,128774,3
Inner-Executor-Assistant,git,8,4,50.0,4,3.4709299206733704,17248,255,17503,1260.6852054077463,4312.0,63.75,13.883719682693481,15.883719682693481,17248,255,17503,1
Inner-Executor-Assistant,echo,15,3,20.0,12,10.712985237439474,31290,2413,33703,262.1662656192194,2607.5,201.08333333333334,18.80618405342102,20.30618405342102,11375,351,11726,5
Inner-Editor-Assistant,get_folder_structure,7,2,28.57142857142857,5,5.318552780151367,11473,499,11972,450.1976569520581,2294.6,99.8,9.061034202575684,9.361034202575684,8962,166,9128,2
Inner-Executor-Assistant,./setup.py,4,2,50.0,2,3.1321102380752563,8623,115,8738,1394.9062031369742,4311.5,57.5,6.264220476150513,7.264220476150513,8623,115,8738,1
Inner-Executor-Assistant,pytest,3,2,66.66666666666666,1,2.700406551361084,6437,47,6484,2401.119933860283,6437.0,47.0,5.400813102722168,13.400813102722168,12874,94,12968,1
Inner-Navigator-Assistant,find_file,3,1,33.33333333333333,2,3.580090284347534,6381,133,6514,909.7535931537501,3190.5,66.5,4.105703592300415,4.455703592300415,4895,75,4970,2
Inner-Executor-Assistant,cat,2,1,50.0,1,6.424227237701416,9326,115,9441,1469.5930966753883,9326.0,115.0,6.424227237701416,6.624227237701416,9326,115,9441,1
Inner-Executor-Assistant,ls,2,1,50.0,1,5.2845423221588135,6982,95,7077,1339.1888206335607,6982.0,95.0,5.2845423221588135,5.484542322158814,6982,95,7077,1
Inner-Executor-Assistant,python3,8,0,0.0,8,3.851601630449295,11761,589,12350,400.80728697269745,1470.125,73.625,0.0,0.0,0,0,0,2
Inner-Editor-Assistant,python_exec,6,0,0.0,6,13.418367266654968,35738,1488,37226,462.3761751365445,5956.333333333333,248.0,0.0,0.0,0,0,0,4
Inner-Executor-Assistant,export,2,0,0.0,2,3.3774746656417847,2100,130,2230,330.12830898263115,1050.0,65.0,0.0,0.0,0,0,0,1
Inner-Editor-Assistant,go_to_def,1,0,0.0,1,5.668248653411865,21146,95,21241,3747.3655971698586,21146.0,95.0,0.0,0.0,0,0,0,1
Inner-Editor-Assistant,python,1,0,0.0,1,4.859825611114502,4038,91,4129,849.6189638074478,4038.0,91.0,0.0,0.0,0,0,0,1
Planner,python_exec,1,0,0.0,1,13.943207025527954,2561,266,2827,202.75105969696787,2561.0,266.0,0.0,0.0,0,0,0,1
