instance_id,baseline_vllm_requests,reuse_vllm_requests_executed,reuse_vllm_requests_avoided,baseline_wall_tokens_per_s,reuse_wall_tokens_per_s,baseline_lm_tokens_per_s,reuse_lm_tokens_per_s,baseline_avg_request_latency_s,reuse_avg_request_latency_s,baseline_avg_prompt_tokens_per_request,reuse_avg_prompt_tokens_per_executed_request,baseline_avg_completion_tokens_per_request,reuse_avg_completion_tokens_per_executed_request
astropy__astropy-12907,115,79,36,717.842919364007,955.2406613957734,726.4006710032535,967.5069409441138,15.881293987191242,15.903578706934482,11287.53043478261,15142.54430379747,248.65217391304347,244.27848101265823
astropy__astropy-14365,385,216,169,1355.764338111013,1420.7531471938976,1387.661879091591,1471.2165181984503,11.75865245856248,11.160646069932866,16179.57922077922,16281.63425925926,137.45454545454547,138.09259259259258
astropy__astropy-6938,116,69,47,704.6939906483505,578.9615677888364,766.5279934117997,622.2804318632722,6.716008632347502,7.316776686820431,5023.2155172413795,4417.797101449275,124.79310344827586,135.28985507246378
django__django-10924,17,17,0,183.46893793847826,185.7859835194866,185.40865260852692,187.77870022725415,8.907827180974623,8.795397099326639,1484.6470588235295,1484.6470588235295,166.94117647058823,166.94117647058823
django__django-11179,31,31,0,214.8820190740002,212.87171680887457,225.80904330415098,223.59433886443125,8.819041636682325,8.906394343222342,1823.3225806451612,1823.3225806451612,168.09677419354838,168.09677419354838
django__django-11742,45,42,3,443.13478373823153,444.9707395048416,448.6124270067551,450.95672600762714,8.005970324410333,7.896280833653042,3440.5333333333333,3412.190476190476,151.04444444444445,148.6904761904762
matplotlib__matplotlib-18869,44,42,2,368.6441693973204,371.44297383958633,388.724118245427,392.5269720905306,8.513048502531918,8.56161972454616,3148.840909090909,3199.7380952380954,160.38636363636363,160.92857142857142
matplotlib__matplotlib-24265,30,25,5,245.9226095135712,239.89313332927694,257.6387662444594,252.21823300345721,7.382817530632019,8.218755540847779,1763.1666666666667,1917.48,138.93333333333334,155.44
matplotlib__matplotlib-24334,117,75,42,773.197663844479,678.1118709543578,795.371890624407,697.2851087375882,10.388883160729694,9.753045415878296,8076.333333333333,6625.706666666667,186.69230769230768,174.94666666666666
matplotlib__matplotlib-25433,30,30,0,292.9010881425937,289.9177766113874,306.58944767467415,303.3291655788836,7.9543942292531336,8.039890686670939,2288.1,2288.1,150.63333333333333,150.63333333333333
