tool_signature,turns_total,cache_hits,cache_hit_pct,executed_requests,avg_executed_request_latency_s,total_prompt_tokens,total_completion_tokens,total_tokens,lm_tokens_per_s,avg_prompt_tokens_per_executed_request,avg_completion_tokens_per_executed_request,estimated_saved_lm_time_s,estimated_saved_stage_time_s,estimated_saved_prompt_tokens,estimated_saved_completion_tokens,estimated_saved_total_tokens,num_instances,agents
go_to_def,1,0,0.0,1,5.668248653411865,21146,95,21241,3747.3655971698586,21146.0,95.0,0.0,0.0,0,0,0,1,Inner-Editor-Assistant
pytest,3,2,66.66666666666666,1,2.700406551361084,6437,47,6484,2401.119933860283,6437.0,47.0,5.400813102722168,13.400813102722168,12874,94,12968,1,Inner-Executor-Assistant
open_file_gen,157,54,34.394904458598724,103,8.332448501031376,1610102,10349,1620451,1888.1045563780178,15632.058252427185,100.47572815533981,758.5985448360443,766.6985448360437,1447674,5242,1452916,10,"Inner-Editor-Assistant,Inner-Navigator-Assistant"
get_all_symbols,12,4,33.33333333333333,8,14.19508746266365,187940,980,188920,1663.6036982591963,23492.5,122.5,80.07865381240845,80.67865381240844,128369,405,128774,3,Inner-Navigator-Assistant
cat,2,1,50.0,1,6.424227237701416,9326,115,9441,1469.5930966753883,9326.0,115.0,6.424227237701416,6.624227237701416,9326,115,9441,1,Inner-Executor-Assistant
open_file,164,62,37.80487804878049,102,9.052911454556035,1340817,12036,1352853,1465.0827827557491,13145.264705882353,118.0,688.2833590507507,697.5833590507501,972811,7688,980499,10,Inner-Navigator-Assistant
./setup.py,4,2,50.0,2,3.1321102380752563,8623,115,8738,1394.9062031369742,4311.5,57.5,6.264220476150513,7.264220476150513,8623,115,8738,1,Inner-Executor-Assistant
code_search,19,4,21.052631578947366,15,8.254687277475993,170434,1434,171868,1388.0436994785948,11362.266666666666,95.6,31.13654923439026,31.736549234390253,65020,290,65310,8,Inner-Navigator-Assistant
ls,2,1,50.0,1,5.2845423221588135,6982,95,7077,1339.1888206335607,6982.0,95.0,5.2845423221588135,5.484542322158814,6982,95,7077,1,Inner-Executor-Assistant
git,8,4,50.0,4,3.4709299206733704,17248,255,17503,1260.6852054077463,4312.0,63.75,13.883719682693481,15.883719682693481,17248,255,17503,1,Inner-Executor-Assistant
get_folder_structure,47,15,31.914893617021278,32,6.2365057319402695,206640,3133,209773,1051.1344864843916,6457.5,97.90625,89.64980149269104,91.89980149269107,115636,1119,116755,9,"Inner-Editor-Assistant,Inner-Navigator-Assistant"
find_file,3,1,33.33333333333333,2,3.580090284347534,6381,133,6514,909.7535931537501,3190.5,66.5,4.105703592300415,4.455703592300415,4895,75,4970,2,Inner-Navigator-Assistant
python,38,14,36.84210526315789,24,5.191402584314346,82237,2313,84550,678.6059469383177,3426.5416666666665,96.375,64.8093593120575,120.8093593120575,75187,1153,76340,7,"Inner-Editor-Assistant,Inner-Executor-Assistant"
LLM_ONLY,363,112,30.853994490358126,251,10.999141771954845,1795751,46437,1842188,667.2697356283234,7154.386454183267,185.00796812749005,1345.3164274692535,1345.3164274692535,1041574,20478,1062052,10,"Inner-Editor-Assistant,Inner-Executor-Assistant,Inner-Navigator-Assistant,Planner"
python_exec,31,14,45.16129032258064,17,17.502872817656574,150610,5367,155977,524.2063827261052,8859.411764705883,315.70588235294116,345.5408184528351,359.5408184528351,220288,5925,226213,5,"Inner-Editor-Assistant,Inner-Navigator-Assistant,Planner"
python3,8,0,0.0,8,3.851601630449295,11761,589,12350,400.80728697269745,1470.125,73.625,0.0,0.0,0,0,0,2,Inner-Executor-Assistant
editor,51,11,21.568627450980394,40,21.297777569293977,325068,15004,340072,399.18719088593787,8126.7,375.1,347.97679901123047,351.82679901123055,224490,4940,229430,10,Inner-Editor-Assistant
export,2,0,0.0,2,3.3774746656417847,2100,130,2230,330.12830898263115,1050.0,65.0,0.0,0.0,0,0,0,1,Inner-Executor-Assistant
echo,15,3,20.0,12,10.712985237439474,31290,2413,33703,262.1662656192194,2607.5,201.08333333333334,18.80618405342102,20.30618405342102,11375,351,11726,5,Inner-Executor-Assistant
