instance_id,agent,num_occurrences,num_cache_hits,first_turn_index,turn_indices,resource_group_key,cache_key
astropy__astropy-14365,Inner-Navigator-Assistant,9,8,43,"43,59,80,112,151,152,250,251,252","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""get_folder_structure""}","{""action_signature_hash"":""118ba15b6724cf0b"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""6513923a9077e97d"",""kind"":""action"",""subgoal"":"""",""tool_name"":""get_folder_structure""}"
astropy__astropy-14365,Planner,9,8,42,"42,58,79,111,149,150,247,248,249","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""6f0768d482962c21"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-14365,Inner-Navigator-Assistant,8,7,60,"60,81,113,153,154,253,254,255","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""28f3c54572b10a2c"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""424752ab21b1abfe"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-14365,Inner-Navigator-Assistant,7,6,82,"82,114,155,156,256,257,258","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""8c69b402b440f3e3"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""3eca31b9d2634165"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-14365,Inner-Navigator-Assistant,7,6,85,"85,117,161,162,265,266,267","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""c142182db0afd7da"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""c4741f75699ec070"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-14365,Planner,7,6,84,"84,116,159,160,262,263,264","{""agent"":""Planner"",""completion_bucket"":""0-255"",""prompt_bucket"":""4096+"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Planner"",""contains_final_answer"":false,""content_hash"":""399f5456c0dc2c3d"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-6938,Inner-Executor-Assistant,7,6,25,"25,26,27,100,101,112,113","{""agent"":""Inner-Executor-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""LLM_ONLY""}","{""action_signature_hash"":""da39a3ee5e6b4b0d"",""agent"":""Inner-Executor-Assistant"",""contains_final_answer"":false,""content_hash"":""bc763cd41210febe"",""kind"":""llm"",""subgoal"":"""",""tool_name"":""""}"
astropy__astropy-12907,Inner-Navigator-Assistant,6,5,1,"1,16,17,41,42,43","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""24b92c376fc1c742"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""ff3bf7b01fb13dca"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-12907,Inner-Navigator-Assistant,6,5,2,"2,18,19,44,45,46","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""256-1023"",""prompt_bucket"":""256-1023"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""66204709afa5381e"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""62866a982a4884f2"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
astropy__astropy-12907,Inner-Navigator-Assistant,6,5,3,"3,20,21,47,48,49","{""agent"":""Inner-Navigator-Assistant"",""completion_bucket"":""0-255"",""prompt_bucket"":""1024-4095"",""slo_class"":""interactive"",""subgoal"":"""",""tool_signature"":""open_file""}","{""action_signature_hash"":""7f242408470cbee1"",""agent"":""Inner-Navigator-Assistant"",""contains_final_answer"":false,""content_hash"":""4f718dc2a638046f"",""kind"":""action"",""subgoal"":"""",""tool_name"":""open_file""}"
